"","Sand","Silt","Clay"
"38303",30,6,64
"73981",75,10,15
"45522",46,19,35
"79323",62,14,24
"84321",62,10,28
"23847",90,5,5
"55137",92,4,4
"79700",33,25,42
"59883",72,6,22
"47981",22,18,60
"85003",64,12,24
"47809",66,4,30
"67700",30,16,54
"62635",83,3,14
"27994",80,6,14
"80314",20,44,36
"35261",69,8,23
"23678",92,5,3
"41377",20,15,65
"84901",34,14,52
"79569",54,4,42
"68409",64,16,20
"65974",79,15,6
"87428",97,2,1
"66648",72,25,3
"69273",54,38,8
"58284",87,6,7
"63888",82,7,11
"38484",34,23,43
"29906",29,10,61
"85260",39,36,25
"80440",83,7,10
"68310",57,7,36
"74342",83,5,12
"22771",72,11,17
"49301",53,18,29
"72216",20,23,57
"33463",6,49,45
"40965",34,28,38
"34435",28,19,53
"29639",58,21,21
"45910",29,22,49
"45877",51,40,9
"43241",17,22,61
"30225",59,5,36
"29474",81,8,11
"34513",21,34,45
"48683",60,15,25
"36782",56,22,22
"77985",71,16,13
