"","vore","sleep_total"
"1","Carnivore",12.1
"2","Omnivore",17
"3","Herbivore",14.4
"4","Omnivore",14.9
"5","Herbivore",4
"6","Herbivore",14.4
"7","Carnivore",8.7
"8","Carnivore",10.1
"9","Herbivore",3
"10","Herbivore",5.3
"11","Herbivore",9.4
"12","Omnivore",10
"13","Herbivore",12.5
"14","Omnivore",10.3
"15","Omnivore",8.3
"16","Omnivore",9.1
"17","Carnivore",17.4
"18","Herbivore",5.3
"19","Omnivore",18
"20","Herbivore",3.9
"21","Insectivore",19.7
"22","Herbivore",2.9
"23","Herbivore",3.1
"24","Omnivore",10.1
"25","Omnivore",10.9
"26","Herbivore",14.9
"27","Carnivore",12.5
"28","Omnivore",9.8
"29","Herbivore",1.9
"30","Carnivore",2.7
"31","Carnivore",6.2
"32","Herbivore",6.3
"33","Omnivore",8
"34","Herbivore",9.5
"35","Herbivore",3.3
"36","Carnivore",19.4
"37","Omnivore",10.1
"38","Herbivore",14.2
"39","Herbivore",14.3
"40","Herbivore",12.8
"41","Herbivore",12.5
"42","Insectivore",19.9
"43","Herbivore",14.6
"44","Carnivore",11
"45","Herbivore",7.7
"46","Carnivore",14.5
"47","Herbivore",8.4
"48","Herbivore",3.8
"49","Omnivore",9.7
"50","Carnivore",15.8
"51","Carnivore",10.4
"52","Carnivore",13.5
"53","Omnivore",9.4
"54","Omnivore",11
"55","Carnivore",3.5
"56","Carnivore",5.6
"57","Herbivore",11.1
"58","Insectivore",18.1
"59","Herbivore",13
"60","Omnivore",8.7
"61","Omnivore",9.6
"62","Insectivore",8.4
"63","Herbivore",11.3
"64","Herbivore",16.6
"65","Herbivore",13.8
"66","Herbivore",15.9
"67","Omnivore",9.1
"68","Insectivore",8.6
"69","Herbivore",15.8
"70","Herbivore",4.4
"71","Omnivore",15.6
"72","Omnivore",8.9
"73","Carnivore",5.2
"74","Carnivore",6.3
"75","Carnivore",12.5
"76","Carnivore",9.8
