"","region","Pop_est"
"1","california",39144818
"2","texas",27469114
"3","florida",20271272
"4","new york",19795791
"5","illinois",12859995
"6","pennsylvania",12802503
"7","ohio",11613423
"8","georgia",10214860
"9","north carolina",10042802
"10","michigan",9922576
"11","new jersey",8958013
"12","virginia",8382993
"13","washington",7170351
"14","arizona",6828065
"15","massachusetts",6794422
"16","indiana",6619680
"17","tennessee",6600299
"18","missouri",6083672
"19","maryland",6006401
"20","wisconsin",5771337
"21","minnesota",5489594
"22","colorado",5456574
"23","south carolina",4896146
"24","alabama",4858979
"25","louisiana",4670724
"26","kentucky",4425092
"27","oregon",4028977
"28","oklahoma",3911338
"29","connecticut",3590886
"30","puerto rico",3474182
"31","iowa",3123899
"32","utah",2995919
"33","mississippi",2992333
"34","arkansas",2978204
"35","kansas",2911641
"36","nevada",2890845
"37","new mexico",2085109
"38","nebraska",1896190
"39","west virginia",1844128
"40","idaho",1654930
"41","hawaii",1431603
"42","new hampshire",1330608
"43","maine",1329328
"44","rhode island",1056298
"45","montana",1032949
"46","delaware",945934
"47","south dakota",858469
"48","north dakota",756927
"49","alaska",738432
"50","district of columbia",672228
"51","vermont",626042
"52","wyoming",586107
